"","caseid","startmonth","startday","startyear","endmonth","endday","endyear","ongoingasofmonth","ongoingasofday","ongoingasofyear","sender1","sender2","sender3","sender4","sender5","primarysender","targetstate","institution","institutionid","targetinstitution","otherinstitution","issue1","issue2","issue3","otherissue","threat","threatid1","threatid2","threatid3","sanctiontypethreat","othersanctiontypethreatened","bspecif","scommit","threatenedtargetinterest","dsanctions","carrots","anticipatedtargetcosts","anticipatedtargetcostsfigureifav","tcurrency","tyearofestimate","anticipatedsendercosts","scurrency","syearofestimate","imposition","sancimpositionstartmonth","sancimpositionstartday","sancimpositionstartyear","sanctionidentity","sanctiontype","othersanctiontype","implementationofdiplomaticsancti","carrotsduringsanction","carrotvalue","carrotcurrency","carrotyear","targetcosts","targeteconomiccostsfigure","targeteconomiccostscurrency","targeteconomiccostsyear","sendercosts","sendereconomiccostsfigure","sendereconomiccostscurrency","sendereconomiccostsyear","finaloutcome","settlementnaturesender","settlementnaturetarget","anticipatedtargetcosts_z","targetcosts_z","sendereconomiccostsfigure_z","Severity","senders_combined"
"1",1945121601,12,16,1945,5,27,1947,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"China",1,"4400",1,NA,2,NA,NA,NA,1,5,NA,NA,"8",NA,2,2,"1 5",NA,NA,2,NA,NA,NA,1,"U.S.Dollars",1945,1,7,"29","1946","4","2 7",NA,NA,"0",NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,8,2,8,1.51714622188741,1.54396930609564,NA,1.53055776399152,"United States of America"
"2",1946020801,2,8,1946,6,19,1949,NA,NA,NA,"Russia",NA,NA,NA,NA,365,"Austria",0,NA,NA,NA,5,NA,NA,"Russia wanted a large amount of compensation for its losses in Austria during the war, but the other Allies didnít want to pay. Is the closes issue territorial dispute?",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"8","1946","5","5","taking over property (ships on the Danube)",NA,"3",NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,10,10,3,NA,1.54396930609564,NA,1.54396930609564,"Russia"
"3",1946031101,3,11,1946,10,9,1993,NA,NA,NA,"India","Pakistan","Jamaica",NA,NA,750,"South Africa",1,"4400",0,NA,8,NA,NA,NA,1,6,NA,NA,"2",NA,2,3,"1","4",NA,NA,NA,NA,NA,NA,NA,NA,1,7,"18","1946","5","1",NA,4,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,2,NA,NA,NA,NA,"India,Pakistan,Jamaica"
"4",1946040901,4,9,1946,8,3,1960,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Poland",0,NA,NA,NA,4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,"9","1946","5","6",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10,5,5,NA,-0.440056398317161,NA,-0.440056398317161,"United States of America"
"5",1946051001,5,10,1946,8,9,1946,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Poland",0,NA,NA,NA,13,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,"10","1946","4 5","7",NA,NA,"0",NA,NA,NA,1,"90000000","dollars",1946,1,NA,NA,NA,7,7,3,NA,-0.440056398317161,NA,-0.440056398317161,"United States of America"
"6",1946072101,7,21,1946,NA,NA,NA,10,22,1946,"Argentina",NA,NA,NA,NA,160,"Bolivia",0,NA,NA,NA,3,NA,NA,"Safety of the Villarroel officials",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,"21","1946","5","2",NA,NA,"0",NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1.54396930609564,NA,1.54396930609564,"Argentina"
"7",1946110101,11,1,1946,2,4,1947,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"United Kingdom",0,NA,NA,NA,13,NA,NA,NA,1,NA,NA,NA,"10",NA,1,1,"3",NA,NA,2,"600000000","us dollars",1946,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,5,1.51714622188741,NA,NA,1.51714622188741,"United States of America"
"8",1947022401,2,24,1947,3,NA,1947,NA,NA,NA,"Spain",NA,NA,NA,NA,230,"Norway",0,NA,NA,NA,7,NA,NA,NA,1,5,NA,NA,"3",NA,2,3,"3",NA,NA,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,6,1.51714622188741,NA,NA,1.51714622188741,"Spain"
"9",1947053101,5,31,1947,NA,NA,NA,8,6,1947,"United States of America",NA,NA,NA,NA,2,"Hungary",0,NA,NA,NA,3,7,NA,NA,1,6,5,NA,"8",NA,2,2,"1 3",NA,NA,1,NA,NA,NA,1,NA,NA,1,6,"3","1947","4","7",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.491732492808361,-0.440056398317161,NA,-0.465894445562761,"United States of America"
"10",1947082201,8,22,1947,10,15,1947,NA,NA,NA,"Cuba",NA,NA,NA,NA,40,"United States of America",0,NA,NA,NA,13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,"22","1947","4 5","3",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10,7,3,NA,-0.440056398317161,NA,-0.440056398317161,"Cuba"
